Year,Month,OCEMAN Monthly Sum
2009,11,1.003039729519e-08
2009,12,1.003039729519e-08
2010,1,1.003039729519e-08
2010,2,1.003039729519e-08
2010,3,1.003039729519e-08
2010,4,1.003039729519e-08
2010,5,1.003039729519e-08
2010,6,1.003039729519e-08
2010,7,1.003039729519e-08
2010,8,1.003039729519e-08
2010,9,1.003039729519e-08
2010,10,1.003039729519e-08
2010,11,1.003039729519e-08
2010,12,1.003039729519e-08
2011,1,1.003039729519e-08
2011,2,1.003039729519e-08
2011,3,1.003039729519e-08
2011,4,1.003039729519e-08
2011,5,1.003039729519e-08
2011,6,1.003039729519e-08
2011,7,1.0029556054799996e-08
2011,8,1.0027601641560003e-08
2011,9,1.0025656703290003e-08
2011,10,1.002373168773e-08
2011,11,1.002178466997e-08
2011,12,1.0019861877810002e-08
2012,1,1.001787594431e-08
2012,2,1.0015981712770004e-08
2012,3,1.001405005134e-08
2012,4,1.0012156319109997e-08
2012,5,1.001018774803e-08
2012,6,1.000827864566e-08
2012,7,1.000806158855e-08
2012,8,1.0010004099010002e-08
2012,9,1.0011961927889999e-08
2012,10,1.001385990636e-08
2012,11,1.0015822432150002e-08
2012,12,1.001775291891e-08
2013,1,1.0019732353450003e-08
2013,2,1.0021595969509999e-08
2013,3,1.002347655016e-08
2013,4,1.0025400842939997e-08
2013,5,1.002734679909e-08
2013,6,1.0029276375730003e-08
2013,7,1.0030392172720004e-08
2013,8,1.003039729519e-08
2013,9,1.003039729519e-08
2013,10,1.003039729519e-08
2013,11,1.003039729519e-08
2013,12,1.003039729519e-08
2014,1,1.003039729519e-08
2014,2,1.003039729519e-08
2014,3,1.003039729519e-08
2014,4,1.003039729519e-08
2014,5,1.003039729519e-08
2014,6,1.003039729519e-08
2014,7,1.003039729519e-08
2014,8,1.003039729519e-08
2014,9,1.003039729519e-08
2014,10,1.003039729519e-08
2014,11,1.003039729519e-08
2014,12,1.003039729519e-08
2015,1,1.003039729519e-08
2015,2,1.003039729519e-08
2015,3,1.003039729519e-08
2015,4,1.003039729519e-08
2015,5,1.003039729519e-08
2015,6,1.003039729519e-08
2015,7,1.0029556054799996e-08
2015,8,1.0027601641560003e-08
