Year,Month,BCEMAN Monthly Sum,OCEMAN Monthly Sum,SO2EMAN Monthly Sum,SO4EMAN Monthly Sum
1995,8,4.384865826030001e-09,9.368646073809997e-09,2.0251559563369997e-07,9.600820248669995e-09
1995,9,4.343410914129999e-09,9.33246060871e-09,2.0257810557860001e-07,9.604643466720002e-09
1995,10,4.30196257009e-09,9.29627190756e-09,2.0264702729659996e-07,9.60844826721e-09
1995,11,4.26050161111e-09,9.260099671499997e-09,2.0271557708250008e-07,9.612267440789998e-09
1995,12,4.2190511399299985e-09,9.223914844590004e-09,2.0279047503360006e-07,9.616075593840002e-09
1996,1,4.17691120586e-09,9.187137884250004e-09,2.028607232086e-07,9.61995586251e-09
1996,2,4.13613660206e-09,9.151550103980003e-09,2.0293092800390001e-07,9.623707923710001e-09
1996,3,4.09536216506e-09,9.115957727660002e-09,2.0300899238230005e-07,9.627456728160002e-09
1996,4,4.0539002196500004e-09,9.079778511570003e-09,2.0307980014790008e-07,9.63126367258e-09
1996,5,4.0124484009700004e-09,9.043590701600002e-09,2.031575499263e-07,9.635074249879997e-09
1996,6,3.9709857525700006e-09,9.007411827107e-09,2.032428550482e-07,9.638897430509998e-09
1996,7,3.951153177889999e-09,8.991786064192999e-09,2.034483229444e-07,9.648595720060004e-09
1996,8,3.9583209785300015e-09,9.001897895850997e-09,2.038125799188e-07,9.665895205680004e-09
1996,9,3.9654745954199996e-09,9.0119457574e-09,2.041602554783e-07,9.68295352791e-09
1996,10,3.972624983919999e-09,9.021997696090002e-09,2.045153481707e-07,9.699998864369996e-09
1996,11,3.9797798465200016e-09,9.032037389740002e-09,2.0486869298340004e-07,9.717056004919996e-09
1996,12,3.986933903110001e-09,9.042092738760002e-09,2.052298323444e-07,9.734109026110002e-09
1997,1,3.9942025793499994e-09,9.05230323739e-09,2.055909749615e-07,9.751439368829998e-09
1997,2,4.001119825280001e-09,9.06201773179e-09,2.0593500786139997e-07,9.767926595930003e-09
1997,3,4.00803912668e-09,9.0717333149e-09,2.0628767651839996e-07,9.784418079550002e-09
1997,4,4.0151910587100005e-09,9.081783000779998e-09,2.0664320545560005e-07,9.801471370480004e-09
1997,5,4.022344431350001e-09,9.09182617185e-09,2.070064202811001e-07,9.818500713279996e-09
1997,6,4.029497612590001e-09,9.101878758730001e-09,2.073771479371e-07,9.83557300459e-09
1997,7,4.03572849142e-09,9.110596256120002e-09,2.072482882178e-07,9.82977595558e-09
1997,8,4.0408588545100005e-09,9.117738123879998e-09,2.0647065468399992e-07,9.7940822308e-09
1997,9,4.0459029460699995e-09,9.124760245610005e-09,2.0569142485839999e-07,9.758857387920004e-09
1997,10,4.05094602778e-09,9.131776256329996e-09,2.049194469233e-07,9.723610675929999e-09
1997,11,4.05598812637e-09,9.13879836108e-09,2.0414473918699998e-07,9.688386683359996e-09
1997,12,4.061030777690002e-09,9.145826306290001e-09,2.033795893176001e-07,9.653135596709999e-09
1998,1,4.06615835022e-09,9.15294494216e-09,2.0259727521940005e-07,9.617325292629997e-09
1998,2,4.07103597214e-09,9.15974503359e-09,2.018492394796e-07,9.58324040444e-09
1998,3,4.075912742419999e-09,9.166533922900005e-09,2.0111158616079988e-07,9.549153813119995e-09
