Year,Month,Monthly Sum
2011,12,4.634861264609999e-09
2012,1,4.633893481840001e-09
2012,2,4.632934955630001e-09
2012,3,4.631995965450001e-09
2012,4,4.63102377482e-09
2012,5,4.630066554460001e-09
2012,6,4.629086779550001e-09
2012,7,4.62898257344e-09
2012,8,4.6299716544300005e-09
2012,9,4.630929857029998e-09
2012,10,4.63189956623e-09
2012,11,4.632856924779999e-09
2012,12,4.633830274349999e-09
2013,1,4.6347965747099995e-09
2013,2,4.635750457830001e-09
2013,3,4.63666621749e-09
2013,4,4.637639221749999e-09
2013,5,4.6386040135500015e-09
2013,6,4.63956784733e-09
2013,7,4.640105972369999e-09
2013,8,4.6401082181e-09
2013,9,4.6401082181e-09
2013,10,4.6401082181e-09
2013,11,4.6401082181e-09
2013,12,4.6401082181e-09
2014,1,4.6401082181e-09
2014,2,4.6401082181e-09
2014,3,4.6401082181e-09
2014,4,4.6401082181e-09
2014,5,4.6401082181e-09
2014,6,4.6401082181e-09
2014,7,4.6401082181e-09
2014,8,4.6401082181e-09
2014,9,4.6401082181e-09
2014,10,4.6401082181e-09
2014,11,4.6401082181e-09
2014,12,4.6401082181e-09
2015,1,4.6401082181e-09
2015,2,4.6401082181e-09
2015,3,4.6401082181e-09
2015,4,4.6401082181e-09
2015,5,4.6401082181e-09
2015,6,4.6401082181e-09
2015,7,4.639706096010001e-09
2015,8,4.638732244650002e-09
2015,9,4.63776193198e-09
2015,10,4.6367945171500004e-09
2015,11,4.6358439173e-09
2015,12,4.634861264609999e-09
2016,1,4.633893481840001e-09
2016,2,4.632934955630001e-09
2016,3,4.631995965450001e-09
2016,4,4.63102377482e-09
2016,5,4.630066554460001e-09
2016,6,4.629086779550001e-09
2016,7,4.62898257344e-09
2016,8,4.6299716544300005e-09
2016,9,4.630929857029998e-09
2016,10,4.63189956623e-09
2016,11,4.632856924779999e-09
2016,12,4.633830274349999e-09
2017,1,4.6347965747099995e-09
2017,2,4.635750457830001e-09
2017,3,4.63666621749e-09
2017,4,4.637639221749999e-09
2017,5,4.6386040135500015e-09
2017,6,4.63956784733e-09
2017,7,4.640105972369999e-09
2017,8,4.6401082181e-09
2017,9,4.6401082181e-09
2017,10,4.6401082181e-09
2017,11,4.6401082181e-09
2017,12,4.6401082181e-09
2018,1,4.6401082181e-09
2018,2,4.6401082181e-09
2018,3,4.6401082181e-09
2018,4,4.6401082181e-09
2018,5,4.6401082181e-09
2018,6,4.6401082181e-09
2018,7,4.6401082181e-09
2018,8,4.6401082181e-09
2018,9,4.6401082181e-09
2018,10,4.6401082181e-09
2018,11,4.6401082181e-09
2018,12,4.6401082181e-09
2019,1,4.6401082181e-09
2019,2,4.6401082181e-09
2019,3,4.6401082181e-09
2019,4,4.6401082181e-09
2019,5,4.6401082181e-09
2019,6,4.6401082181e-09
2019,7,4.639706096010001e-09
2019,8,4.638732244650002e-09
2019,9,4.63776193198e-09
2019,10,4.6367945171500004e-09
2019,11,4.6358439173e-09
2019,12,4.634861264609999e-09
2020,1,4.633893481840001e-09
2020,2,4.632934955630001e-09
2020,3,4.631995965450001e-09
2020,4,4.63102377482e-09
2020,5,4.630066554460001e-09
2020,6,4.629086779550001e-09
2020,7,4.62898257344e-09
2020,8,4.6299716544300005e-09
2020,9,4.630929857029998e-09
2020,10,4.63189956623e-09
2020,11,4.632856924779999e-09
2020,12,4.633830274349999e-09
2021,1,4.6347965747099995e-09
2021,2,4.635750457830001e-09
2021,3,4.63666621749e-09
2021,4,4.637639221749999e-09
2021,5,4.6386040135500015e-09
2021,6,4.63956784733e-09
2021,7,4.640105972369999e-09
2021,8,4.6401082181e-09
2021,9,4.6401082181e-09
2021,10,4.6401082181e-09
2021,11,4.6401082181e-09
2021,12,4.6401082181e-09
2022,1,4.6401082181e-09
2022,2,4.6401082181e-09
2022,3,4.6401082181e-09
2022,4,4.6401082181e-09
2022,5,4.6401082181e-09
2022,6,4.6401082181e-09
2022,7,4.6401082181e-09
2022,8,4.6401082181e-09
2022,9,4.6401082181e-09
2022,10,4.6401082181e-09
2022,11,4.6401082181e-09
2022,12,4.6401082181e-09
2023,1,4.6401082181e-09
2023,2,4.6401082181e-09
2023,3,4.6401082181e-09
2023,4,4.6401082181e-09
2023,5,4.6401082181e-09
2023,6,4.6401082181e-09
2023,7,4.6401082181e-09
2023,8,4.6401082181e-09
2023,9,4.6401082181e-09
2023,10,4.6401082181e-09
2023,11,4.6401082181e-09
2023,12,4.6401082181e-09
